"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 19, 2017","169.25","162.50","170.20","162.50","10.43M","2.67%"
"Apr 18, 2017","164.85","173.00","175.35","163.60","19.14M","-4.49%"
"Apr 17, 2017","172.60","160.00","173.70","157.85","28.53M","8.11%"
"Apr 13, 2017","159.65","160.00","161.85","158.40","5.79M","-0.19%"
"Apr 12, 2017","159.95","159.70","162.00","156.00","10.32M","0.38%"
"Apr 11, 2017","159.35","156.05","160.90","155.70","10.82M","1.66%"
"Apr 10, 2017","156.75","153.35","157.65","153.20","5.95M","1.62%"
"Apr 07, 2017","154.25","156.40","159.25","153.10","9.00M","-1.37%"
"Apr 06, 2017","156.40","149.40","159.00","148.80","17.21M","4.41%"
"Apr 05, 2017","149.80","147.50","150.65","146.90","6.99M","2.01%"
"Apr 03, 2017","146.85","148.60","149.25","146.20","4.27M","-1.21%"
"Mar 31, 2017","148.65","150.65","150.65","148.10","4.08M","-0.40%"
"Mar 30, 2017","149.25","148.30","151.95","148.10","12.94M","0.24%"
"Mar 29, 2017","148.90","149.00","150.40","148.30","4.82M","-0.10%"
"Mar 28, 2017","149.05","148.00","150.10","147.90","5.01M","1.02%"
"Mar 27, 2017","147.55","147.70","148.95","147.00","3.92M","-0.54%"
"Mar 24, 2017","148.35","146.45","149.40","146.25","4.14M","1.12%"
"Mar 23, 2017","146.70","146.35","147.60","146.15","3.08M","0.79%"
"Mar 22, 2017","145.55","146.90","147.50","140.80","4.72M","-1.82%"
"Mar 21, 2017","148.25","147.80","148.80","145.90","4.32M","0.47%"
"Mar 20, 2017","147.55","147.60","149.30","146.55","3.24M","-0.07%"
"Mar 17, 2017","147.65","149.30","150.65","146.50","4.08M","-1.07%"
"Mar 16, 2017","149.25","148.00","149.90","147.30","5.84M","1.95%"
"Mar 15, 2017","146.40","146.60","147.60","144.60","5.08M","-0.14%"
"Mar 14, 2017","146.60","146.05","147.45","143.10","8.60M","3.35%"
"Mar 10, 2017","141.85","143.20","144.10","140.85","5.21M","-0.32%"
"Mar 09, 2017","142.30","142.10","144.10","141.10","4.64M","-0.21%"
"Mar 08, 2017","142.60","145.00","145.65","140.40","6.89M","-1.72%"
"Mar 07, 2017","145.10","145.90","146.35","144.00","4.38M","-0.31%"
"Mar 06, 2017","145.55","144.95","146.30","142.30","7.41M","1.01%"
"Mar 03, 2017","144.10","140.65","144.70","140.10","9.08M","2.27%"
"Mar 02, 2017","140.90","155.00","155.00","139.15","24.56M","-8.06%"
"Mar 01, 2017","153.25","154.90","155.40","152.40","13.92M","1.86%"
"Feb 28, 2017","150.45","147.00","152.40","146.20","6.69M","2.66%"
"Feb 27, 2017","146.55","148.80","149.70","145.80","4.45M","-1.55%"
"Feb 23, 2017","148.85","146.65","149.75","145.30","5.77M","1.92%"
"Feb 22, 2017","146.05","145.55","149.45","145.10","7.83M","0.24%"
"Feb 21, 2017","145.70","146.85","146.95","144.50","5.80M","-0.34%"
"Feb 20, 2017","146.20","143.00","148.00","141.55","9.31M","2.70%"
